id_nivel,elemento,estado_ionizacion,espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev,referencia
002001.000017,He,1,He I,1s.3p,1P*,1.0,1,True,3.0,23.0870185296,True,2.1e-10,L22715c200
002001.000018,He,1,He I,1s.4s,3S,1.0,1,True,3.0,23.593958713,True,3e-09,L22715c200
002001.000019,He,1,He I,1s.4s,1S,0.0,0,True,1.0,23.67357059,True,3e-09,L22715c200
002001.000020,He,1,He I,1s.4p,3P*,2.0,2,True,5.0,23.7078912279,True,8e-10,L22715c200
002001.000021,He,1,He I,1s.4p,3P*,1.0,1,True,3.0,23.7078923433,True,8e-10,L22715c200
002001.000022,He,1,He I,1s.4p,3P*,0.0,0,True,1.0,23.7079060221,True,8e-10,L22715c200
002001.000023,He,1,He I,1s.4d,3D,3.0,3,True,7.0,23.7360901901,True,5e-11,"L22715c200,L21466"
002001.000024,He,1,He I,1s.4d,3D,2.0,2,True,5.0,23.73609033897,True,5e-11,"L22715c200,L21466"
002001.000025,He,1,He I,1s.4d,3D,1.0,1,True,3.0,23.73609263507,True,5e-11,"L22715c200,L21466"
002001.000026,He,1,He I,1s.4d,1D,2.0,2,True,5.0,23.73633503536,True,4e-11,"L22715c200,L21466"
002001.000027,He,1,He I,1s.4f,3F*,3.0,3,True,7.0,23.737006806968,True,8e-12,L22715c200
002001.000028,He,1,He I,1s.4f,3F*,4.0,4,True,9.0,23.737007692183,True,6e-12,L22715c200
002001.000029,He,1,He I,1s.4f,3F*,2.0,2,True,5.0,23.737008760725,True,8e-12,L22715c200
002001.000030,He,1,He I,1s.4f,1F*,3.0,3,True,7.0,23.737009722091,True,6e-12,L22715c200
002001.000031,He,1,He I,1s.4p,1P*,1.0,1,True,3.0,23.7420700688,True,1.6e-10,L22715c200
002001.000032,He,1,He I,1s.5s,3S,1.0,1,True,3.0,23.9719714182,True,1.6e-09,L22715c200
002001.000033,He,1,He I,1s.5s,1S,0.0,0,True,1.0,24.0112149898,True,1.2e-09,L22715c200
002001.000034,He,1,He I,1s.5p,3P*,2.0,2,True,5.0,24.028225064,True,5e-10,L22715c200
002001.000035,He,1,He I,1s.5p,3P*,1.0,1,True,3.0,24.0282256244,True,5e-10,L22715c200
002001.000036,He,1,He I,1s.5p,3P*,0.0,0,True,1.0,24.0282324989,True,5e-10,L22715c200
002001.000037,He,1,He I,1s.5d,3D,3.0,3,True,7.0,24.042662242088,True,2.5e-11,"L22715c200,L21466"
002001.000038,He,1,He I,1s.5d,3D,2.0,2,True,5.0,24.042662321526,True,2.5e-11,"L22715c200,L21466"
002001.000039,He,1,He I,1s.5d,3D,1.0,1,True,3.0,24.042663494166,True,2.5e-11,"L22715c200,L21466"
002001.000040,He,1,He I,1s.5d,1D,2.0,2,True,5.0,24.042803412125,True,2.1e-11,"L22715c200,L21466"
002001.000041,He,1,He I,1s.5f,3F*,3.0,3,True,7.0,24.043154084167,True,5e-12,L22715c200
002001.000042,He,1,He I,1s.5f,3F*,4.0,4,True,9.0,24.043154465835,True,4e-12,L22715c200
002001.000043,He,1,He I,1s.5f,3F*,2.0,2,True,5.0,24.043155012649,True,5e-12,L22715c200
002001.000044,He,1,He I,1s.5f,1F*,3.0,3,True,7.0,24.043155648442,True,4e-12,L22715c200
002001.000045,He,1,He I,1s.5g,3G,4.0,4,True,9.0,24.0432156651818,True,1.2e-12,L22715c200
002001.000046,He,1,He I,1s.5g,3G,5.0,5,True,11.0,24.0432160086825,True,9e-13,L22715c200
002001.000047,He,1,He I,1s.5g,3G,3.0,3,True,7.0,24.0432163209841,True,1.2e-12,L22715c200
002001.000048,He,1,He I,1s.5g,1G,4.0,4,True,9.0,24.0432165311324,True,9e-13,L22715c200
002001.000049,He,1,He I,1s.5p,1P*,1.0,1,True,3.0,24.04580040653,True,8e-11,L22715c200
002001.000050,He,1,He I,1s.6s,3S,1.0,1,True,3.0,24.1689982232,True,8e-10,L22715c200
002001.000051,He,1,He I,1s.6s,1S,0.0,0,True,1.0,24.1911602752,True,7e-10,L22715c200
002001.000052,He,1,He I,1s.6p,3P*,2.0,2,True,5.0,24.20081545451,True,2.5e-10,L22715c200
002001.000053,He,1,He I,1s.6p,3P*,1.0,1,True,3.0,24.20081577498,True,2.5e-10,L22715c200
002001.000054,He,1,He I,1s.6p,3P*,0.0,0,True,1.0,24.20081970804,True,2.5e-10,L22715c200
002001.000055,He,1,He I,1s.6d,3D,3.0,3,True,7.0,24.209163110443,True,1.6e-11,"L22715c200,L21466"
002001.000056,He,1,He I,1s.6d,3D,2.0,2,True,5.0,24.209163157329,True,1.6e-11,"L22715c200,L21466"
002001.000057,He,1,He I,1s.6d,3D,1.0,1,True,3.0,24.209163835045,True,1.6e-11,"L22715c200,L21466"
002001.000058,He,1,He I,1s.6d,1D,2.0,2,True,5.0,24.209249793955,True,1.2e-11,"L22715c200,L21466"
002001.000059,He,1,He I,1s.6f,3F*,3.0,3,True,7.0,24.209454827529,True,3e-12,L22715c200
002001.000060,He,1,He I,1s.6f,3F*,4.0,4,True,9.0,24.2094550264796,True,2.1e-12,L22715c200
002001.000061,He,1,He I,1s.6f,3F*,2.0,2,True,5.0,24.209455342828,True,3e-12,L22715c200
002001.000062,He,1,He I,1s.6f,1F*,3.0,3,True,7.0,24.2094557657828,True,2.1e-12,L22715c200
002001.000063,He,1,He I,1s.6g,3G,4.0,4,True,9.0,24.2094918821374,True,9e-13,L22715c200
002001.000064,He,1,He I,1s.6g,3G,5.0,5,True,11.0,24.2094920807421,True,6e-13,L22715c200
002001.000065,He,1,He I,1s.6g,3G,3.0,3,True,7.0,24.2094922614541,True,9e-13,L22715c200
002001.000066,He,1,He I,1s.6g,1G,4.0,4,True,9.0,24.2094923832773,True,6e-13,L22715c200
002001.000067,He,1,He I,1s.6h,3H*,5.0,5,True,11.0,24.2095005571382,True,4e-13,L22715c200
002001.000068,He,1,He I,1s.6h,3H*,6.0,6,True,13.0,24.20950068659936,True,2.5e-13,L22715c200
002001.000069,He,1,He I,1s.6h,3H*,4.0,4,True,9.0,24.2095008041069,True,4e-13,L22715c200
002001.000070,He,1,He I,1s.6h,1H*,5.0,5,True,11.0,24.209500891788,True,2.5e-13,L22715c200
002001.000071,He,1,He I,1s.6p,1P*,1.0,1,True,3.0,24.21100267716,True,5e-11,L22715c200
002001.000072,He,1,He I,1s.7s,3S,1.0,1,True,3.0,24.2845660369,True,5e-10,L22715c200
002001.000073,He,1,He I,1s.7s,1S,0.0,0,True,1.0,24.2982859057,True,5e-10,L22715c200
002001.000074,He,1,He I,1s.7p,3P*,2.0,2,True,5.0,24.30428920147,True,1.6e-10,L22715c200
002001.000075,He,1,He I,1s.7p,3P*,1.0,1,True,3.0,24.30428940164,True,1.6e-10,L22715c200
002001.000076,He,1,He I,1s.7p,3P*,0.0,0,True,1.0,24.30429185947,True,1.6e-10,L22715c200
