id_nivel,codigo_referencia
002001.000327,L22715c201
002001.000302,L22715c201
002001.000277,L22715c201
002001.000427,L22715c201
002001.000402,L22715c201
002001.000377,L22715c201
002001.000352,L22715c201
002001.000502,L22715c201
002001.000527,L22715c201
002001.000477,L22715c201
002001.000452,L22715c201
002001.000602,L22715c201
002001.000627,L22715c201
002001.000577,L22715c201
002001.000552,L22715c201
002001.000702,L22715c201
002001.000727,L22715c201
002001.000677,L22715c201
002001.000652,L22715c201
002001.000802,L22715c201
002001.000827,L22715c201
002001.000777,L22715c201
002001.000752,L22715c201
002001.000252,L22715c201
002001.000233,L22715c201
002001.000208,L22715c201
002001.000328,L22715c201
002001.000303,L22715c201
002001.000278,L22715c201
002001.000428,L22715c201
002001.000403,L22715c201
002001.000378,L22715c201
002001.000353,L22715c201
002001.000503,L22715c201
002001.000528,L22715c201
002001.000478,L22715c201
002001.000453,L22715c201
002001.000603,L22715c201
002001.000628,L22715c201
002001.000578,L22715c201
002001.000553,L22715c201
002001.000703,L22715c201
002001.000728,L22715c201
002001.000678,L22715c201
002001.000653,L22715c201
002001.000803,L22715c201
002001.000828,L22715c201
002001.000778,L22715c201
002001.000753,L22715c201
002001.000253,L22715c201
002001.000234,L22715c201
002001.000209,L22715c201
002001.000329,L22715c201
002001.000304,L22715c201
002001.000279,L22715c201
002001.000429,L22715c201
002001.000404,L22715c201
002001.000379,L22715c201
002001.000354,L22715c201
002001.000504,L22715c201
002001.000529,L22715c201
002001.000479,L22715c201
002001.000454,L22715c201
002001.000604,L22715c201
002001.000629,L22715c201
002001.000579,L22715c201
002001.000554,L22715c201
002001.000704,L22715c201
002001.000729,L22715c201
002001.000679,L22715c201
002001.000654,L22715c201
002001.000804,L22715c201
002001.000829,L22715c201
002001.000779,L22715c201
002001.000754,L22715c201
002001.000254,L22715c201
002001.000235,L22715c201
002001.000210,L22715c201
002001.000330,L22715c201
002001.000305,L22715c201
002001.000280,L22715c201
002001.000430,L22715c201
002001.000405,L22715c201
002001.000380,L22715c201
002001.000355,L22715c201
002001.000505,L22715c201
002001.000530,L22715c201
002001.000480,L22715c201
002001.000455,L22715c201
002001.000605,L22715c201
002001.000630,L22715c201
002001.000580,L22715c201
002001.000555,L22715c201
002001.000705,L22715c201
002001.000730,L22715c201
002001.000680,L22715c201
002001.000655,L22715c201
002001.000805,L22715c201
002001.000830,L22715c201
002001.000780,L22715c201
002001.000755,L22715c201
002001.000255,L22715c201
002001.000236,L22715c201
002001.000211,L22715c201
002001.000331,L22715c201
002001.000306,L22715c201
002001.000281,L22715c201
002001.000431,L22715c201
002001.000406,L22715c201
002001.000381,L22715c201
002001.000356,L22715c201
002001.000506,L22715c201
002001.000531,L22715c201
002001.000481,L22715c201
002001.000456,L22715c201
002001.000606,L22715c201
002001.000631,L22715c201
002001.000581,L22715c201
002001.000556,L22715c201
002001.000706,L22715c201
002001.000731,L22715c201
002001.000681,L22715c201
002001.000656,L22715c201
002001.000806,L22715c201
002001.000831,L22715c201
002001.000781,L22715c201
002001.000756,L22715c201
002001.000256,L22715c201
002001.000237,L22715c201
002001.000212,L22715c201
002001.000332,L22715c201
002001.000307,L22715c201
002001.000282,L22715c201
002001.000432,L22715c201
002001.000407,L22715c201
002001.000382,L22715c201
002001.000357,L22715c201
002001.000507,L22715c201
002001.000532,L22715c201
002001.000482,L22715c201
002001.000457,L22715c201
002001.000607,L22715c201
002001.000632,L22715c201
002001.000582,L22715c201
002001.000557,L22715c201
002001.000707,L22715c201
002001.000732,L22715c201
002001.000682,L22715c201
002001.000657,L22715c201
002001.000807,L22715c201
002001.000832,L22715c201
002001.000782,L22715c201
002001.000757,L22715c201
002001.000257,L22715c201
002001.000238,L22715c201
002001.000213,L22715c201
002001.000333,L22715c201
002001.000308,L22715c201
002001.000283,L22715c201
002001.000433,L22715c201
002001.000408,L22715c201
002001.000383,L22715c201
002001.000358,L22715c201
002001.000508,L22715c201
002001.000533,L22715c201
002001.000483,L22715c201
002001.000458,L22715c201
002001.000608,L22715c201
002001.000633,L22715c201
002001.000583,L22715c201
002001.000558,L22715c201
002001.000708,L22715c201
002001.000733,L22715c201
002001.000683,L22715c201
002001.000658,L22715c201
002001.000808,L22715c201
002001.000833,L22715c201
002001.000783,L22715c201
002001.000758,L22715c201
002001.000258,L22715c201
002001.000239,L22715c201
002001.000214,L22715c201
002001.000334,L22715c201
002001.000309,L22715c201
002001.000284,L22715c201
002001.000434,L22715c201
002001.000409,L22715c201
002001.000384,L22715c201
002001.000359,L22715c201
002001.000509,L22715c201
002001.000534,L22715c201
