id_linea,elemento,espectro,estado_ionizacion,longitud_onda_nm,longitud_onda_vacio_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,region_espectral,aki_s1,log10_aki,tiene_aki,fuerza_oscilador_fik,log_gf,exactitud,tipo_transicion,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,energia_foton_ev,configuracion_inferior,termino_inferior,j_inferior,j_inferior_texto,j_inferior_resuelto,g_inferior,configuracion_superior,termino_superior,j_superior,j_superior_texto,j_superior_resuelto,g_superior,id_nivel_inferior,id_nivel_superior,ref_probabilidad,ref_longitud_onda,medicion_repetida
12569,O,O I,1,1341.6064,1341.982049792,ritz,aire,,1341.6064,False,,,Infrarrojo,346000.0,5.539076098792776,True,0.00934,-1.331,C+,E1,,,99093.641,106545.354,False,False,False,False,0.9238946632992601,2s2.2p3.(4S*).4p,5P,2.0,2,True,5,2s2.2p3.(4S*).7s,5S*,2.0,2,True,5,008001.000058,008001.000115,T5713LS,,False
12570,O,O I,1,1341.8218,1342.197510104,ritz,aire,,1341.8218,False,,,Infrarrojo,484000.0,5.684845361644412,True,0.00934,-1.185,C+,E1,,,99094.837,106545.354,False,False,False,False,0.9237463781979279,2s2.2p3.(4S*).4p,5P,3.0,3,True,7,2s2.2p3.(4S*).7s,5S*,2.0,2,True,5,008001.000059,008001.000115,T5713LS,,False
12571,N,N I,1,1342.21,1342.5858188000002,ritz,aire,,1342.21,False,,,Infrarrojo,46700.0,4.669316880566112,True,0.000631,-2.598,D+,E1,,,107445.622,114894.0,False,False,False,False,0.9234811759974666,2s2.2p2.(3P).4p,4S*,1.5,3/2,True,4,2s2.2p2.(3P).8s,4P,0.5,1/2,True,2,007001.000073,007001.000218,T5723LS,,False
12572,N,N II,2,1342.569,1342.94491932,ritz,aire,,1342.569,False,,,Infrarrojo,634000.0,5.8020892578817325,True,0.0286,-1.067,D,E1,,,166765.66,174212.03,False,False,False,False,0.9232322157270018,2s.2p3,1P*,1.0,1,True,3,2s2.2p.3p,1D,2.0,2,True,5,007002.000037,007002.000042,T7333,,False
12573,N,N II,2,1342.585,1342.9609238,ritz,aire,,1342.585,False,,,Infrarrojo,5460000.0,6.737192642704737,True,0.148,-0.132,C+,E1,,,203258.98,210705.26,False,False,False,False,0.9232210571491427,2s2.2p.4p,3P,2.0,2,True,5,2s2.2p.4d,3P*,2.0,2,True,5,007002.000066,007002.000080,T5520LS,,False
12574,B,B II,2,1342.89,1343.2660092,ritz,aire,,1342.89,False,,0.07,Infrarrojo,85000.0,4.929418925714293,True,0.0032,-1.79,D,E1,,,183618.81,191063.4,False,False,False,False,0.9230115238537813,1s2.2s.5p,3P*,2.0,2,True,5,1s2.2p.3p,3D,3.0,3,True,7,005002.000043,005002.000074,"u27,LS",,False
12575,N,N I,1,1342.961,1343.33702908,observada,aire,1342.961,1342.9604,False,,,Infrarrojo,3090000.0,6.489958479424835,True,0.0837,-0.776,C+,E1,500.0,,86137.35,93581.55,False,False,False,False,0.9229631700163903,2s2.2p2.(3P).3s,2P,0.5,1/2,True,2,2s2.2p2.(3P).3p,2S*,0.5,1/2,True,2,007001.000021,007001.000026,T7370,L3513,False
12576,C,C I,1,1342.991,1343.3670374800001,ritz,aire,,1342.991,False,,0.003,Infrarrojo,90000.0,4.954242509439325,True,0.0025,-2.1,D,E1,,,81105.06418,88549.095,False,False,False,False,0.9229421943696988,2s2.2p.4p,3S,1.0,1,True,3,2s2.2p.(2P*<1/2>).8s,2[1/2]*,1.0,1,True,3,006001.000051,006001.000160,T5520LS,,False
12577,N,N II,2,1343.661,1344.03722508,ritz,aire,,1343.661,False,,,Infrarrojo,5660000.0,6.752816431188271,True,0.153,0.031,C+,E1,,,202861.36,210301.68,False,False,False,False,0.9224821113264499,2s2.2p.4p,3D,3.0,3,True,7,2s2.2p.4d,3D*,3.0,3,True,7,007002.000063,007002.000079,T5520LS,,False
12578,C,C I,1,1343.951,1344.3273062800001,ritz,aire,,1343.951,False,,0.005,Infrarrojo,90000.0,4.954242509439325,True,0.0008,-2.6,D,E1,,,81105.06418,88543.78,False,False,False,False,0.9222832183549975,2s2.2p.4p,3S,1.0,1,True,3,2s2.2p.(2P*<1/2>).8s,2[1/2]*,0.0,0,True,1,006001.000051,006001.000158,T5520LS,,False
