id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
10305,15,009001.000008,009001.000041,E1,C+,787.918,observada,aire,787.918,787.918,True,0.003,,3560000.0,0.0332,-0.7,300.0,,115917.91,128606.09,False,False,False,False,False
10306,11,007001.000037,007001.000104,E1,C,788.6224,ritz,aire,,788.6224,False,,,686000.0,0.0128,-1.592,,,97770.18,110447.032,False,False,False,False,False
10307,13,008001.000280,008001.000314,E1,,788.627,observada,aire,788.627,788.6273,True,,,,,,80.0,,115918.143,128594.916,False,False,False,False,False
10308,9,006001.000024,006001.000079,E1,C,789.22264,ritz,aire,,789.22264,False,,4e-05,16000.0,0.00015,-3.35,,,71364.93596,84032.1471,False,False,False,False,False
10309,11,007001.000038,007001.000107,E1,C,789.3976,ritz,aire,,789.3976,False,,,821000.0,0.0115,-1.337,,,97805.84,110470.244,False,False,False,False,False
10310,14,008002.000068,008002.000089,E1,C,789.4609,observada,aire,789.4609,789.4614,False,,,588000.0,0.011,-1.658,5.0,,240330.01,252993.39,False,False,False,False,False
10311,12,007002.000060,007002.000103,E1,B,789.763,ritz,aire,,789.763,False,,,22700000.0,0.212,-0.196,,,202170.63,214829.18,False,False,False,False,False
10312,14,008002.000068,008002.000088,E1,C,789.8452,observada,aire,789.8452,789.8456,False,,,2350000.0,0.022,-1.357,6.0,,240330.01,252987.23,False,False,False,False,False
10313,15,009001.000009,009001.000043,E1,C,789.8588,observada,aire,789.8588,789.859,True,0.0002,,12200000.0,0.171,-0.16,500.0,,116040.88,128697.89,False,False,False,False,False
10314,11,007001.000039,007001.000134,E1,C,789.8982,ritz,aire,,789.8982,False,,,28200000.0,0.176,0.024,,,99663.427,112319.805,False,False,False,False,False
