id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
002001.000002,2,1s.2s,3S,1.0,1,True,3,19.819614525,True,5e-09
002001.000003,2,1s.2s,1S,0.0,0,True,1,20.615774823,True,8e-09
002001.000004,2,1s.2p,3P*,2.0,2,True,5,20.96408688908,True,3e-09
002001.000005,2,1s.2p,3P*,1.0,1,True,3,20.96409636464,True,3e-09
002001.000006,2,1s.2p,3P*,0.0,0,True,1,20.96421885051,True,3e-09
002001.000007,2,1s.2p,1P*,1.0,1,True,3,21.2180227112,True,1.6e-09
002001.000008,2,1s.3s,3S,1.0,1,True,3,22.718466419,True,8e-09
002001.000009,2,1s.3s,1S,0.0,0,True,1,22.920317359,True,4e-09
002001.000010,2,1s.3p,3P*,2.0,2,True,5,23.00707314571,True,4e-11
002001.000011,2,1s.3p,3P*,1.0,1,True,3,23.0070758719,True,4e-10
002001.000012,2,1s.3p,3P*,0.0,0,True,1,23.0071094335,True,4e-10
002001.000013,2,1s.3d,3D,3.0,3,True,7,23.07365070854,True,1e-10
002001.000014,2,1s.3d,3D,2.0,2,True,5,23.07365101981,True,1e-10
002001.000015,2,1s.3d,3D,1.0,1,True,3,23.07365649967,True,1e-10
002001.000016,2,1s.3d,1D,2.0,2,True,5,23.07407479777,True,8e-11
002001.000017,2,1s.3p,1P*,1.0,1,True,3,23.0870185296,True,2.1e-10
002001.000018,2,1s.4s,3S,1.0,1,True,3,23.593958713,True,3e-09
002001.000019,2,1s.4s,1S,0.0,0,True,1,23.67357059,True,3e-09
002001.000020,2,1s.4p,3P*,2.0,2,True,5,23.7078912279,True,8e-10
002001.000021,2,1s.4p,3P*,1.0,1,True,3,23.7078923433,True,8e-10
002001.000022,2,1s.4p,3P*,0.0,0,True,1,23.7079060221,True,8e-10
002001.000023,2,1s.4d,3D,3.0,3,True,7,23.7360901901,True,5e-11
002001.000024,2,1s.4d,3D,2.0,2,True,5,23.73609033897,True,5e-11
002001.000025,2,1s.4d,3D,1.0,1,True,3,23.73609263507,True,5e-11
