Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s2.2s.11d""","=""3D""","=""2""",5,"=""""","=""9.20806""","=""""","=""0.00025""","=""004001.000101""","=""L9172"""
"=""1s2.2s.11d""","=""3D""","=""3""",7,"=""""","=""9.2082""","=""""","=""0.0004""","=""004001.000102""","=""L9172"""
"=""1s2.2s.11d""","=""1D""","=""2""",5,"=""""","=""9.21221""","=""""","=""0.00004""","=""004001.000103""","=""L9172"""
"=""1s2.2s.12p""","=""1P*""","=""1""",3,"=""[""","=""9.22203""","=""]""","=""0.00006""","=""004001.000104""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""1""",3,"=""""","=""9.2262""","=""""","=""0.0003""","=""004001.000105""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""2""",5,"=""""","=""9.22628""","=""""","=""0.00025""","=""004001.000106""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""3""",7,"=""""","=""9.2264""","=""""","=""0.0004""","=""004001.000107""","=""L9172"""
"=""1s2.2s.12d""","=""1D""","=""2""",5,"=""""","=""9.22981""","=""""","=""0.00004""","=""004001.000108""","=""L9172"""
"=""1s2.2s.13p""","=""1P*""","=""1""",3,"=""[""","=""9.23733""","=""]""","=""0.00006""","=""004001.000109""","=""L9172"""
"=""Be II (2s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""9.322699""","=""""","=""0.000007""","=""004001.Lim001""","=""L5964"""
"=""1s2.2p2""","=""1S""","=""0""",1,"=""""","=""9.4464""","=""a""","=""0.0007""","=""004001.000111""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""10.607337""","=""""","=""0.000014""","=""004001.000112""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""10.607596""","=""""","=""0.000009""","=""004001.000113""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""10.608089""","=""""","=""0.000009""","=""004001.000114""","=""L9172"""
"=""1s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""10.94""","=""a""","=""0.10""","=""004001.000115""","=""L9172"""
"=""1s2.2p.3p""","=""1P""","=""1""",3,"=""""","=""11.049619""","=""""","=""0.000006""","=""004001.000116""","=""L9172"""
"=""1s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""11.408382""","=""""","=""0.000015""","=""004001.000117""","=""L9172"""
"=""1s2.2p.3p""","=""3P""","=""1""",3,"=""""","=""11.408528""","=""""","=""0.000012""","=""004001.000118""","=""L9172"""
"=""1s2.2p.3p""","=""3P""","=""2""",5,"=""""","=""11.408789""","=""""","=""0.000015""","=""004001.000119""","=""L9172"""
"=""1s2.2p.3d""","=""1D*""","=""2""",5,"=""""","=""11.579391""","=""""","=""0.000009""","=""004001.000120""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""1""",3,"=""""","=""11.677889""","=""""","=""0.000011""","=""004001.000121""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""2""",5,"=""""","=""11.677977""","=""""","=""0.000011""","=""004001.000122""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""3""",7,"=""""","=""11.678116""","=""""","=""0.000012""","=""004001.000123""","=""L9172"""
"=""1s2.2p.3d""","=""1P*""","=""1""",3,"=""""","=""11.8583""","=""a""","=""0.0006""","=""004001.000124""","=""L9172"""
"=""1s2.2p.4s""","=""1P*""","=""1""",3,"=""""","=""12.10""","=""a""","=""0.06""","=""004001.000125""","=""L9172"""
"=""1s2.2p.4p""","=""1P""","=""1""",3,"=""""","=""12.174265""","=""""","=""0.000011""","=""004001.000126""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""0""",1,"=""""","=""12.29472""","=""""","=""0.00003""","=""004001.000127""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""1""",3,"=""""","=""12.29486""","=""""","=""0.00003""","=""004001.000128""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""2""",5,"=""""","=""12.29511""","=""""","=""0.00003""","=""004001.000129""","=""L9172"""
"=""1s2.2p.4d""","=""1D*""","=""2""",5,"=""""","=""12.35732""","=""""","=""0.00011""","=""004001.000130""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""1""",3,"=""""","=""12.39635""","=""""","=""0.00003""","=""004001.000131""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""2""",5,"=""""","=""12.396432""","=""""","=""0.000025""","=""004001.000132""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""3""",7,"=""""","=""12.39660""","=""""","=""0.00003""","=""004001.000133""","=""L9172"""
"=""1s2.2p.4f""","=""1F""","=""3""",7,"=""""","=""12.40989""","=""?""","=""0.00003""","=""004001.000134""","=""L9172"""
"=""1s2.2p.4f""","=""3F""","=""3""",7,"=""""","=""12.42700""","=""?""","=""0.00003""","=""004001.000135""","=""L9172"""
"=""1s2.2p.4f""","=""3F""","=""4""",9,"=""""","=""12.42716""","=""?""","=""0.00004""","=""004001.000136""","=""L9172"""
"=""1s2.2p.4d""","=""1P*""","=""1""",3,"=""[""","=""12.4688""","=""a]""","=""0.0006""","=""004001.000137""","=""L9172"""
"=""1s2.2p.5s""","=""1P*""","=""1""",3,"=""""","=""12.572""","=""a""","=""0.012""","=""004001.000138""","=""L9172"""
"=""1s2.2p.5p""","=""1P""","=""1""",3,"=""""","=""12.615308""","=""""","=""0.000025""","=""004001.000139""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""0""",1,"=""""","=""12.67066""","=""""","=""0.00004""","=""004001.000140""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""1""",3,"=""""","=""12.67089""","=""""","=""0.00003""","=""004001.000141""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""2""",5,"=""""","=""12.67111""","=""""","=""0.00003""","=""004001.000142""","=""L9172"""
"=""1s2.2p.5d""","=""1D*""","=""2""",5,"=""""","=""12.70119""","=""""","=""0.00005""","=""004001.000143""","=""L9172"""
"=""1s2.2p.5d""","=""3D*""","=""""",15,"=""""","=""12.72031""","=""""","=""0.00015""","=""004001.000144""","=""L9172"""
"=""1s2.2p.5f""","=""1F""","=""3""",7,"=""""","=""12.72588""","=""?""","=""0.00003""","=""004001.000145""","=""L9172"""
"=""1s2.2p.5d""","=""1P*""","=""1""",3,"=""""","=""12.7569""","=""a""","=""0.0006""","=""004001.000146""","=""L9172"""
"=""1s2.2p.6s""","=""1P*""","=""1""",3,"=""""","=""12.811""","=""a""","=""0.014""","=""004001.000147""","=""L9172"""
"=""1s2.2p.6p""","=""1P""","=""1""",3,"=""""","=""12.83598""","=""""","=""0.00003""","=""004001.000148""","=""L9172"""
