Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s.2p.(3P*).8p""","=""2P""","=""3/2""",4,"=""""","=""29.930""","=""""","=""0.004""","=""""","=""  92         :     5  2s.2p.(3P*).8p        4D   ""","=""006002.000295""","=""L22145"""
"=""2s.2p.(3P*).8p""","=""2D""","=""3/2""",4,"=""""","=""29.958""","=""""","=""0.004""","=""""","=""  96                                             ""","=""006002.000296""","=""L22145"""
"=""2s.2p.(3P*).8p""","=""2D""","=""5/2""",6,"=""""","=""29.963""","=""""","=""0.004""","=""""","=""  96                                             ""","=""006002.000297""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4D*""","=""1/2""",2,"=""""","=""30.008""","=""""","=""0.003""","=""""","=""  97         :     2  2s.2p.(3P*).8d        4P*  ""","=""006002.000371""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4D*""","=""3/2""",4,"=""""","=""30.009""","=""""","=""0.003""","=""""","=""  59         :    31  2s.2p.(3P*).8d        2D*  ""","=""006002.000372""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4D*""","=""5/2""",6,"=""""","=""30.009""","=""""","=""0.003""","=""""","=""  41         :    50  2s.2p.(3P*).8d        2D*  ""","=""006002.000373""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4D*""","=""7/2""",8,"=""""","=""30.012""","=""""","=""0.003""","=""""","=""  93         :     6  2s.2p.(3P*).8d        4F*  ""","=""006002.000374""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4P*""","=""5/2""",6,"=""""","=""30.009""","=""""","=""0.003""","=""""","=""  78         :    19  2s.2p.(3P*).8d        4D*  ""","=""006002.000292""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",4,"=""""","=""30.011""","=""""","=""0.003""","=""""","=""  90         :     9  2s.2p.(3P*).8d        4D*  ""","=""006002.000369""","=""L22145"""
"=""2s.2p.(3P*).8d""","=""4P*""","=""1/2""",2,"=""""","=""30.012""","=""""","=""0.003""","=""""","=""  97         :     2  2s.2p.(3P*).8d        4D*  ""","=""006002.000370""","=""L22145"""
