Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p.(2P*<3/2>).10p""","=""2[1/2]""","=""0""",1,"=""""","=""11.118671""","=""""","=""0.000005""","=""""","=""  32         :    31  2s2.2p.(2P*<1/2>).11p 2[1/2]  ""","=""006001.000219""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.12113""","=""""","=""0.00004""","=""""","=""  82         :    15  2s2.2p.(2P*<1/2>).10d 2[3/2]* ""","=""006001.000331""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.122796""","=""""","=""0.000024""","=""""","=""  99                                                ""","=""006001.000220""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.12273""","=""""","=""0.00021""","=""""","=""  98                                                ""","=""006001.000332""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.12287""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000333""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.12302""","=""""","=""0.00007""","=""""","=""  80         :    17  2s2.2p.(2P*<1/2>).10d 2[5/2]* ""","=""006001.000004""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.123407""","=""""","=""0.000019""","=""""","=""  98                                                ""","=""006001.000221""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",9,"=""[""","=""11.130008""","=""]""","=""0.000011""","=""""","="" 100                                                ""","=""006001.000005""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.13119""","=""""","=""0.00005""","=""""","=""  79         :    20  2s2.2p.(2P*<3/2>).10d 2[5/2]* ""","=""006001.000224""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.130420""","=""""","=""0.000007""","=""""","=""  86         :     9  2s2.2p.(2P*<3/2>).10d 2[3/2]* ""","=""006001.000222""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.13046""","=""""","=""0.00006""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).10d 2[7/2]* ""","=""006001.000223""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.131683""","=""""","=""0.000017""","=""""","=""  75         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* ""","=""006001.000225""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.13177""","=""""","=""0.00005""","=""""","=""  51         :    43  2s2.2p.(2P*<3/2>).11s 2[3/2]* ""","=""006001.000335""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",3,"=""""","=""11.13172""","=""""","=""0.00009""","=""""","=""  61         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* ""","=""006001.000334""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.1320""","=""""","=""0.0003""","=""""","=""  98                                                ""","=""006001.000336""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11p""","=""2[3/2]""","=""1""",3,"=""""","=""11.132446""","=""""","=""0.000014""","=""""","=""  86         :    12  2s2.2p.(2P*<1/2>).11p 2[1/2]  ""","=""006001.000226""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.14563""","=""""","=""0.00015""","=""""","=""  86         :    12  2s2.2p.(2P*<1/2>).11d 2[3/2]* ""","=""006001.000337""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.146806""","=""""","=""0.000024""","=""""","=""  99                                                ""","=""006001.000227""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.14660""","=""""","=""0.00014""","=""""","=""  88         :    11  2s2.2p.(2P*<1/2>).11d 2[3/2]* ""","=""006001.000338""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).12s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.14685""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000339""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).11d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.14685""","=""""","=""0.00021""","=""""","=""  85         :    13  2s2.2p.(2P*<1/2>).11d 2[5/2]* ""","=""006001.000340""","=""L20057"""
