Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p4.(3P<2>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""38.7835817""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000148""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""38.7836930""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000149""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""38.7836960""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000150""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[5]*""","=""11/2""",12,"=""""","=""38.7843216""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000151""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[5]*""","=""9/2""",10,"=""""","=""38.7843264""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000152""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""38.7853272""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000153""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""38.7853291""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000154""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[6]""","=""11/2""",12,"=""""","=""38.7864002""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000155""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[6]""","=""13/2""",14,"=""""","=""38.7864024""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000156""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[2]""","=""3/2""",4,"=""""","=""38.787601""","=""""","=""0.000004""","="" 100                                                              ""","=""010002.000157""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[2]""","=""5/2""",6,"=""""","=""38.7876037""","=""""","=""0.0000010""","="" 100                                                              ""","=""010002.000158""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[1]*""","=""1/2""",2,"=""""","=""38.7876635""","=""""","=""0.0000010""","="" 100                                                              ""","=""010002.000159""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[1]*""","=""3/2""",4,"=""""","=""38.7877813""","=""""","=""0.0000009""","="" 100                                                              ""","=""010002.000160""","=""L9088"""
"=""2s2.2p4.(3P).6s""","=""4P""","=""5/2""",6,"=""""","=""38.7950853""","=""""","=""0.0000004""","=""  87                            :     7  2s2.2p4.(3P).5d    4P    ""","=""010002.000161""","=""L9088"""
"=""2s2.2p4.(3P).6s""","=""4P""","=""3/2""",4,"=""""","=""38.8879095""","=""""","=""0.0000004""","=""  62                            :    36  2s2.2p4.(3P).6s    2P    ""","=""010002.000183""","=""L9088"""
"=""2s2.2p4.(3P).6s""","=""4P""","=""1/2""",2,"=""""","=""38.8938561""","=""""","=""0.0000004""","=""  78                            :    22  2s2.2p4.(3P).6s    2P    ""","=""010002.000184""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""2P""","=""1/2""",2,"=""""","=""38.8078231""","=""""","=""0.0000005""","=""  55                            :    34  2s2.2p4.(3P).5d    4D    ""","=""010002.000163""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""2P""","=""3/2""",4,"=""""","=""38.8598104""","=""""","=""0.0000004""","=""  48                            :    28  2s2.2p4.(3P).5d    2D    ""","=""010002.000172""","=""L9088"""
"=""2s2.2p4.(3P).6s""","=""2P""","=""3/2""",4,"=""""","=""38.8293979""","=""""","=""0.0000004""","=""  52                            :    29  2s2.2p4.(3P).6s    4P    ""","=""010002.000168""","=""L9088"""
