Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.34g""","=""3G""","=""5""",11,"=""[""","=""24.57562090587567""","=""]""","=""0.00000000000025""","=""002001.000642""","=""L22715c201"""
"=""1s.34g""","=""3G""","=""3""",7,"=""[""","=""24.57562090686853""","=""]""","=""0.00000000000025""","=""002001.000592""","=""L22715c201"""
"=""1s.34g""","=""1G""","=""4""",9,"=""[""","=""24.57562090754189""","=""]""","=""0.00000000000025""","=""002001.000567""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""5""",11,"=""[""","=""24.57562095922669""","=""]""","=""0.00000000000025""","=""002001.000717""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""6""",13,"=""[""","=""24.57562095993811""","=""]""","=""0.00000000000025""","=""002001.000742""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""4""",9,"=""[""","=""24.57562096058382""","=""]""","=""0.00000000000025""","=""002001.000692""","=""L22715c201"""
"=""1s.34h""","=""1H*""","=""5""",11,"=""[""","=""24.57562096106575""","=""]""","=""0.00000000000025""","=""002001.000667""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""6""",13,"=""[""","=""24.57562097711426""","=""]""","=""0.00000000000025""","=""002001.000817""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""7""",15,"=""[""","=""24.57562097761330""","=""]""","=""0.00000000000025""","=""002001.000842""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""5""",11,"=""[""","=""24.57562097806795""","=""]""","=""0.00000000000025""","=""002001.000792""","=""L22715c201"""
"=""1s.34i""","=""1I""","=""6""",13,"=""[""","=""24.57562097842924""","=""]""","=""0.00000000000025""","=""002001.000767""","=""L22715c201"""
"=""1s.34p""","=""1P*""","=""1""",3,"=""[""","=""24.5756293894120""","=""]""","=""0.0000000000005""","=""002001.000267""","=""L22715c201"""
"=""1s.35s""","=""3S""","=""1""",3,"=""[""","=""24.576093150917""","=""]""","=""0.000000000007""","=""002001.000248""","=""L22715c201"""
