Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p2.(3P).9d""","=""2F""","=""5/2""",6,"=""""","=""14.3700""","=""""","=""""","=""007001.000270""","="""""
"=""2s2.2p2.(3P).9d""","=""2F""","=""7/2""",8,"=""""","=""14.3700""","=""""","=""""","=""007001.000271""","="""""
"=""2s2.2p2.(3P).9d""","=""2D""","=""3/2""",4,"=""""","=""14.3788""","=""""","=""""","=""007001.000273""","="""""
"=""2s2.2p2.(3P).9d""","=""2D""","=""5/2""",6,"=""""","=""14.3811""","=""""","=""""","=""007001.000277""","="""""
"=""2s2.2p2.(3P).9d""","=""4P""","=""1/2""",2,"=""""","=""14.381""","=""""","=""""","=""007001.000274""","="""""
"=""2s2.2p2.(3P).9d""","=""4P""","=""3/2""",4,"=""""","=""14.381""","=""""","=""""","=""007001.000275""","="""""
"=""2s2.2p2.(3P).9d""","=""4P""","=""5/2""",6,"=""""","=""14.381""","=""""","=""""","=""007001.000276""","="""""
"=""2s2.2p2.(3P).11s""","=""2P""","=""1/2""",2,"=""""","=""14.3954""","=""""","=""""","=""007001.000278""","="""""
"=""2s2.2p2.(3P).11s""","=""2P""","=""3/2""",4,"=""""","=""14.3954""","=""""","=""""","=""007001.000279""","="""""
"=""2s2.2p2.(3P).11s""","=""4P""","=""1/2""",2,"=""""","=""14.3975""","=""""","=""""","=""007001.000280""","="""""
"=""2s2.2p2.(3P).11s""","=""4P""","=""3/2""",4,"=""""","=""14.3975""","=""""","=""""","=""007001.000281""","="""""
"=""2s2.2p2.(3P).11s""","=""4P""","=""5/2""",6,"=""""","=""14.3975""","=""""","=""""","=""007001.000282""","="""""
"=""2s2.2p2.(3P).10d""","=""2P""","=""1/2""",2,"=""""","=""14.4014""","=""""","=""""","=""007001.000283""","="""""
"=""2s2.2p2.(3P).10d""","=""2P""","=""3/2""",4,"=""""","=""14.4014""","=""""","=""""","=""007001.000284""","="""""
"=""2s2.2p2.(3P).10d""","=""2F""","=""5/2""",6,"=""""","=""14.4019""","=""""","=""""","=""007001.000285""","="""""
"=""2s2.2p2.(3P).10d""","=""2F""","=""7/2""",8,"=""""","=""14.4019""","=""""","=""""","=""007001.000286""","="""""
"=""2s2.2p2.(3P).10d""","=""4D""","=""1/2""",2,"=""""","=""14.4025""","=""""","=""""","=""007001.000287""","="""""
"=""2s2.2p2.(3P).10d""","=""4D""","=""3/2""",4,"=""""","=""14.4025""","=""""","=""""","=""007001.000288""","="""""
"=""2s2.2p2.(3P).10d""","=""4D""","=""5/2""",6,"=""""","=""14.4025""","=""""","=""""","=""007001.000289""","="""""
"=""2s2.2p2.(3P).10d""","=""4D""","=""7/2""",8,"=""""","=""14.4025""","=""""","=""""","=""007001.000290""","="""""
"=""2s2.2p2.(3P).10d""","=""2D""","=""3/2""",4,"=""""","=""14.412""","=""""","=""""","=""007001.000291""","="""""
"=""2s2.2p2.(3P).10d""","=""2D""","=""5/2""",6,"=""""","=""14.412""","=""""","=""""","=""007001.000292""","="""""
"=""2s2.2p2.(3P).10d""","=""4P""","=""1/2""",2,"=""""","=""14.4143""","=""""","=""""","=""007001.000293""","="""""
"=""2s2.2p2.(3P).10d""","=""4P""","=""3/2""",4,"=""""","=""14.4143""","=""""","=""""","=""007001.000294""","="""""
"=""2s2.2p2.(3P).10d""","=""4P""","=""5/2""",6,"=""""","=""14.4143""","=""""","=""""","=""007001.000295""","="""""
"=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""14.4167038""","=""""","=""""","=""007001.000296""","="""""
"=""2s2.2p2.(3P).12s""","=""2P""","=""1/2""",2,"=""""","=""14.4200""","=""""","=""""","=""007001.000297""","="""""
"=""2s2.2p2.(3P).12s""","=""2P""","=""3/2""",4,"=""""","=""14.4200""","=""""","=""""","=""007001.000298""","="""""
"=""2s2.2p2.(3P).12s""","=""4P""","=""1/2""",2,"=""""","=""14.4209""","=""""","=""""","=""007001.000299""","="""""
"=""2s2.2p2.(3P).12s""","=""4P""","=""3/2""",4,"=""""","=""14.4209""","=""""","=""""","=""007001.000300""","="""""
"=""2s2.2p2.(3P).12s""","=""4P""","=""5/2""",6,"=""""","=""14.4209""","=""""","=""""","=""007001.000301""","="""""
"=""2s2.2p2.(3P).11d""","=""2P""","=""1/2""",2,"=""""","=""14.4257""","=""""","=""""","=""007001.000302""","="""""
"=""2s2.2p2.(3P).11d""","=""2P""","=""3/2""",4,"=""""","=""14.4257""","=""""","=""""","=""007001.000303""","="""""
"=""2s2.2p2.(3P).11d""","=""2F""","=""5/2""",6,"=""""","=""14.4267""","=""""","=""""","=""007001.000304""","="""""
"=""2s2.2p2.(3P).11d""","=""2F""","=""7/2""",8,"=""""","=""14.4267""","=""""","=""""","=""007001.000305""","="""""
"=""2s2.2p2.(3P).11d""","=""4D""","=""1/2""",2,"=""""","=""14.4277""","=""""","=""""","=""007001.000306""","="""""
"=""2s2.2p2.(3P).11d""","=""4D""","=""3/2""",4,"=""""","=""14.4277""","=""""","=""""","=""007001.000307""","="""""
"=""2s2.2p2.(3P).11d""","=""4D""","=""5/2""",6,"=""""","=""14.4277""","=""""","=""""","=""007001.000308""","="""""
"=""2s2.2p2.(3P).11d""","=""4D""","=""7/2""",8,"=""""","=""14.4277""","=""""","=""""","=""007001.000309""","="""""
"=""2s2.2p2.(3P).11d""","=""2D""","=""3/2""",4,"=""""","=""14.4362""","=""""","=""""","=""007001.000310""","="""""
"=""2s2.2p2.(3P).11d""","=""2D""","=""5/2""",6,"=""""","=""14.4362""","=""""","=""""","=""007001.000311""","="""""
"=""2s2.2p2.(3P).11d""","=""4P""","=""1/2""",2,"=""""","=""14.4368""","=""""","=""""","=""007001.000312""","="""""
"=""2s2.2p2.(3P).11d""","=""4P""","=""3/2""",4,"=""""","=""14.4368""","=""""","=""""","=""007001.000313""","="""""
"=""2s2.2p2.(3P).11d""","=""4P""","=""5/2""",6,"=""""","=""14.4368""","=""""","=""""","=""007001.000314""","="""""
"=""2s2.2p2.(3P).13s""","=""2P""","=""1/2""",2,"=""""","=""14.4401""","=""""","=""""","=""007001.000315""","="""""
"=""2s2.2p2.(3P).13s""","=""2P""","=""3/2""",4,"=""""","=""14.4401""","=""""","=""""","=""007001.000316""","="""""
"=""2s2.2p2.(3P).12d""","=""2P""","=""1/2""",2,"=""""","=""14.4444""","=""""","=""""","=""007001.000317""","="""""
"=""2s2.2p2.(3P).12d""","=""2P""","=""3/2""",4,"=""""","=""14.4444""","=""""","=""""","=""007001.000318""","="""""
"=""2s2.2p2.(3P).12d""","=""4P""","=""1/2""",2,"=""""","=""14.4542""","=""""","=""""","=""007001.000319""","="""""
"=""2s2.2p2.(3P).12d""","=""4P""","=""3/2""",4,"=""""","=""14.4542""","=""""","=""""","=""007001.000320""","="""""
"=""2s2.2p2.(3P).12d""","=""4P""","=""5/2""",6,"=""""","=""14.4542""","=""""","=""""","=""007001.000321""","="""""
"=""2s2.2p2.(3P).12d""","=""2D""","=""3/2""",4,"=""""","=""14.4597""","=""""","=""""","=""007001.000322""","="""""
"=""2s2.2p2.(3P).12d""","=""2D""","=""5/2""",6,"=""""","=""14.4597""","=""""","=""""","=""007001.000323""","="""""
"=""N II (2p2 3P<0>)""","=""Limit""","=""---""",,"=""""","=""14.53413""","=""""","=""0.00004""","=""007001.Lim001""","=""L1411"""
"=""N II (2p2 3P<1>)""","=""Limit""","=""---""",,"=""""","=""14.54017""","=""""","=""""","=""007001.Lim002""","="""""
"=""N II (2p2 3P<2>)""","=""Limit""","=""---""",,"=""""","=""14.550347""","=""""","=""""","=""007001.Lim003""","="""""
"=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""14.78016""","=""""","=""""","=""007001.000327""","="""""
"=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""14.78016""","=""""","=""""","=""007001.000328""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""""","=""""","=""""","=""007001.000012""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""14.85491""","=""""","=""""","=""007001.000329""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""14.8966070""","=""""","=""""","=""007001.000330""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""14.8966178""","=""""","=""""","=""007001.000331""","="""""
