Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s.2p2.(4P).4f""","=""5F*""","=""4""",9,"=""""","=""33.317643""","=""""","=""""","=""007002.000190""","="""""
"=""2s.2p2.(4P).4f""","=""5F*""","=""5""",11,"=""""","=""33.318735""","=""""","=""""","=""007002.000191""","="""""
"=""2s.2p2.(4P).5f""","=""5G*""","=""2""",5,"=""""","=""""","=""""","=""""","=""007002.000014""","="""""
"=""2s.2p2.(4P).5f""","=""5G*""","=""3""",7,"=""""","=""""","=""""","=""""","=""007002.000015""","="""""
"=""2s.2p2.(4P).5f""","=""5G*""","=""4""",9,"=""""","=""34.50896""","=""""","=""""","=""007002.000192""","="""""
"=""2s.2p2.(4P).5f""","=""5G*""","=""5""",11,"=""""","=""34.51315""","=""""","=""""","=""007002.000193""","="""""
"=""2s.2p2.(4P).5f""","=""5G*""","=""6""",13,"=""""","=""34.519713""","=""""","=""""","=""007002.000194""","="""""
"=""N III (2s.2p2 4P*<1/2>)""","=""Limit""","=""---""",,"=""""","=""36.69159""","=""""","=""""","=""007002.Lim003""","="""""
"=""N III (2s.2p2 4P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""36.69899""","=""""","=""""","=""007002.Lim004""","="""""
"=""N III (2s.2p2 4P*<5/2>)""","=""Limit""","=""---""",,"=""""","=""36.70904""","=""""","=""""","=""007002.Lim005""","="""""
