Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",5,"=""""","=""21.524712""","=""""","=""0.000010""","=""010001.000340""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.524846""","=""""","=""0.000014""","=""010001.000342""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).20s""","=""2[3/2]*""","=""1""",3,"=""""","=""21.525700""","=""""","=""0.000022""","=""010001.000343""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).19d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.526791""","=""""","=""0.000022""","=""010001.000344""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.530477""","=""""","=""0.000022""","=""010001.000345""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.542437""","=""""","=""0.000022""","=""010001.000346""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.548593""","=""""","=""0.000022""","=""010001.000347""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.561876""","=""""","=""0.000022""","=""010001.000348""","=""L8826"""
"=""Ne II (2p5 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""21.564541""","=""""","=""0.000007""","=""010001.Lim001""","=""L8826,L1407"""
"=""2s2.2p5.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.566550""","=""""","=""0.000022""","=""010001.000350""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.576939""","=""""","=""0.000022""","=""010001.000351""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.580589""","=""""","=""0.000022""","=""010001.000352""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.588819""","=""""","=""0.000022""","=""010001.000353""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.591729""","=""""","=""0.000022""","=""010001.000354""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).16s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.598352""","=""""","=""0.000022""","=""010001.000355""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).15d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.600708""","=""""","=""0.000022""","=""010001.000356""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).17s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.606121""","=""""","=""0.000022""","=""010001.000357""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).16d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.608042""","=""""","=""0.000022""","=""010001.000358""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).18s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.612539""","=""""","=""0.000022""","=""010001.000359""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).17d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.614148""","=""""","=""0.000022""","=""010001.000360""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).19s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.617897""","=""""","=""0.000022""","=""010001.000361""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).18d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.619285""","=""""","=""0.000022""","=""010001.000362""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).20s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.622425""","=""""","=""0.000022""","=""010001.000363""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).19d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.623565""","=""""","=""0.000022""","=""010001.000364""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).20d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.627257""","=""""","=""0.000022""","=""010001.000365""","=""L8826"""
"=""2s.2p6.3p""","=""1P*""","=""1""",3,"=""""","=""45.547""","=""""","=""0.009""","=""010001.000366""","=""L8826"""
"=""2s.2p6.4p""","=""1P*""","=""1""",3,"=""""","=""47.123""","=""""","=""0.005""","=""010001.000367""","=""L8826"""
"=""2s.2p6.5p""","=""1P*""","=""1""",3,"=""""","=""47.693""","=""""","=""0.005""","=""010001.000368""","=""L8826"""
"=""2s.2p6.6p""","=""1P*""","=""1""",3,"=""""","=""47.967""","=""""","=""0.005""","=""010001.000369""","=""L8826"""
"=""2s.2p6.7p""","=""1P*""","=""1""",3,"=""""","=""48.116""","=""""","=""0.006""","=""010001.000370""","=""L8826"""
"=""2s.2p6.8p""","=""1P*""","=""1""",3,"=""""","=""48.208""","=""""","=""0.006""","=""010001.000371""","=""L8826"""
"=""2s.2p6.9p""","=""1P*""","=""1""",3,"=""""","=""48.271""","=""""","=""0.006""","=""010001.000372""","=""L8826"""
"=""2s.2p6.10p""","=""1P*""","=""1""",3,"=""""","=""48.313""","=""""","=""0.006""","=""010001.000373""","=""L8826"""
"=""2s.2p6.11p""","=""1P*""","=""1""",3,"=""""","=""48.344""","=""""","=""0.006""","=""010001.000374""","=""L8826"""
"=""2s.2p6.12p""","=""1P*""","=""1""",3,"=""""","=""48.365""","=""""","=""0.006""","=""010001.000375""","=""L8826"""
