element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
Ne,2,"=""655.9024""","=""0.0020""","=""655.9020""","=""0.0003""","=""100""","=""""","=""""","=""""",,"=""303599.9098""","=""318841.8788""","=""2s2.2p4.(3P<1>).4f""","=""2[3]*""","=""7/2""","=""2s2.2p4.(3P<1>).6g""","=""2[4]""","=""9/2""",8,10,,"=""""","=""L1406""","=""010002.000099""","=""010002.000255""",
O,2,"=""655.9060""","=""""","=""655.9062""","=""""","=""7bl""","=""""","=""""","=""""",,"=""256143.187""","=""271385.06""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""7/2""","=""2s2.2p2.(3P<2>).6g""","=""2[5]""","=""9/2""",8,10,,"=""""","=""L6336""","=""008002.000130""","=""008002.000228""",
Ne,2,"=""655.9285""","=""0.0020""","=""655.9287""","=""0.0003""","=""100""","=""""","=""""","=""""",,"=""303600.498""","=""318841.8468""","=""2s2.2p4.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""2s2.2p4.(3P<1>).6g""","=""2[4]""","=""7/2""",6,8,,"=""""","=""L1406""","=""010002.000100""","=""010002.000254""",
O,2,"=""""","=""""","=""655.9552""","=""""","=""""","=""""","=""""","=""""",,"=""255827.657""","=""271068.39""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""9/2""",10,10,,"=""""","=""L11267""","=""008002.000117""","=""008002.000213""",
O,2,"=""""","=""""","=""655.9569""","=""""","=""""","=""""","=""""","=""""",,"=""255827.657""","=""271068.35""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""7/2""",10,8,,"=""""","=""L11267""","=""008002.000117""","=""008002.000212""",
Li,2,"=""""","=""""","=""656.006""","=""0.008""","=""""","=""9.900e+04""","=""4.565e-04""","=""-2.4955""",AA,"=""[582642.10]""","=""[597881.65]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""","=""003002.000028""","=""003002.000055""",
N,2,"=""""","=""""","=""656.020""","=""""","=""""","=""7.05e+06""","=""1.37e-01""","=""-0.865""",D,"=""196540.23""","=""211779.45""","=""2s2.2p.4s""","=""3P*""","=""0""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",1,3,,"=""T6385n""","=""""","=""007002.000056""","=""007002.000098""",
O,2,"=""656.0369""","=""""","=""656.0380""","=""""","=""7*""","=""""","=""""","=""""",,"=""255829.58""","=""271068.39""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""","=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""9/2""",8,10,,"=""""","=""L10621""","=""008002.000118""","=""008002.000213""",
O,2,"=""656.0369""","=""""","=""656.0392""","=""""","=""7*""","=""""","=""""","=""""",,"=""240517.35""","=""255756.131""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",4,6,,"=""""","=""L10621""","=""008002.000069""","=""008002.000113""",
O,2,"=""""","=""""","=""656.0397""","=""""","=""""","=""""","=""""","=""""",,"=""255829.58""","=""271068.35""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""","=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""7/2""",8,8,,"=""""","=""L11267""","=""008002.000118""","=""008002.000212""",
