espectro,Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference,Lande
H I,"=""10p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.462451058""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000043""","=""L15291""",
H I,"=""10p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.462451421""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000046""","=""L15291""",
H I,"=""10s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.462451094""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000044""","=""L15291""",
H I,"=""10d""","=""2D""","=""3/2""",4.0,"=""[""","=""13.46245141908""","=""]""","=""0.00000000016""","="" 100                    ""","=""001001.001.000045""","=""L15291""",
H I,"=""10d""","=""2D""","=""5/2""",6.0,"=""""","=""13.46245154007""","=""""","=""0.00000000016""","="" 100                    ""","=""001001.001.000047""","=""L15291""",
H I,"=""10""","=""""","=""""",200.0,"=""""","=""13.46245155""","=""""","=""0.00000010""","="" 100                    ""","=""001001.001.000067""","=""L15291""",
H I,"=""11p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.486051554""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000048""","=""L15291""",
H I,"=""11p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.486051827""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000051""","=""L15291""",
H I,"=""11s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.486051581""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000049""","=""L15291""",
H I,"=""11d""","=""2D""","=""3/2""",4.0,"=""[""","=""13.486051825""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000050""","=""L15291""",
H I,"=""11d""","=""2D""","=""5/2""",6.0,"=""[""","=""13.486051916""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000052""","=""L15291""",
H I,"=""11""","=""""","=""""",242.0,"=""""","=""13.48605194""","=""""","=""0.00000007""","="" 100                    ""","=""001001.001.000068""","=""L15291""",
H I,"=""12p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.504001658""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000053""","=""L15291""",
H I,"=""12p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.504001867""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000056""","=""L15291""",
H I,"=""12s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.504001678""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000054""","=""L15291""",
H I,"=""12d""","=""2D""","=""3/2""",4.0,"=""""","=""13.50400186581""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000055""","=""L15291""",
H I,"=""12d""","=""2D""","=""5/2""",6.0,"=""""","=""13.50400193582""","=""""","=""0.00000000003""","="" 100                    ""","=""001001.001.000057""","=""L15291""",
H I,"=""12""","=""""","=""""",288.0,"=""""","=""13.50400193""","=""""","=""0.00000006""","="" 100                    ""","=""001001.001.000069""","=""L15291""",
H I,"=""13""","=""""","=""""",338.0,"=""[""","=""13.51797128""","=""]""","=""0.00000011""","="" 100                    ""","=""001001.001.000070""","=""L15291""",
H I,"=""14""","=""""","=""""",392.0,"=""[""","=""13.52905552""","=""]""","=""0.00000011""","="" 100                    ""","=""001001.001.000071""","=""L15291""",
H I,"=""15""","=""""","=""""",450.0,"=""[""","=""13.53799772""","=""]""","=""0.00000011""","="" 100                    ""","=""001001.001.000072""","=""L15291""",
H I,"=""16""","=""""","=""""",512.0,"=""[""","=""13.54531624""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000073""","=""L15291""",
H I,"=""17""","=""""","=""""",578.0,"=""[""","=""13.55138166""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000074""","=""L15291""",
H I,"=""18""","=""""","=""""",648.0,"=""[""","=""13.55646454""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000075""","=""L15291""",
H I,"=""19""","=""""","=""""",722.0,"=""[""","=""13.56076619""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000076""","=""L15291""",
H I,"=""20""","=""""","=""""",800.0,"=""[""","=""13.56443886""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000077""","=""L15291""",
H I,"=""21""","=""""","=""""",882.0,"=""[""","=""13.56759946""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000078""","=""L15291""",
H I,"=""22""","=""""","=""""",968.0,"=""[""","=""13.57033894""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000079""","=""L15291""",
H I,"=""23""","=""""","=""""",1058.0,"=""[""","=""13.57272894""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000080""","=""L15291""",
H I,"=""24""","=""""","=""""",1152.0,"=""[""","=""13.57482645""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000081""","=""L15291""",
H I,"=""25""","=""""","=""""",1250.0,"=""[""","=""13.57667733""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000082""","=""L15291""",
H I,"=""26""","=""""","=""""",1352.0,"=""[""","=""13.57831878""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000083""","=""L15291""",
H I,"=""27""","=""""","=""""",1458.0,"=""[""","=""13.57978125""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000084""","=""L15291""",
H I,"=""28""","=""""","=""""",1568.0,"=""[""","=""13.58108984""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000085""","=""L15291""",
